"","setor","definição"
"1","ABASTECIMENTO","Provimento de alimentos e/ou outros insumos."
"2","COMUNICAÇÃO","Rádio e TV, imprensa oficial e gráficas."
"3","DESENVOLVIMENTO","Promoção do desenvolvimento econômico regional."
"4","DISTRIBUIÇÃO DE GÁS","Aquisição, armazenagem, transporte, envasilhamento, comercialização e distribuição de gás."
"5","ENERGIA","Geração, transmissão, distribuição e comercialização de energia elétrica."
"6","FINANCEIRO","Bancos, bancos de desenvolvimento, caixas econômicas e agências de fomento ao crédito"
"7","GESTÃO DE ATIVOS","Gestão de patrimônio, implementação de PPP, operações de obtenção de recursos no mercado de capitais, assessoramento em participações acionárias, securitização e recuperação de créditos."
"8","HABITAÇÃO E URBANIZAÇÃO","Planejamento arquitetônico, fiscalização de obras, estudos de engenharia e arquitetura, avaliações mobiliárias, construção civil em geral e habitação ."
"9","INFORMÁTICA","Atividades de processamento de dados e tecnologia da informação"
"10","MINERAÇÃO","Pesquisa, exploração, extração e beneficiamento de minérios"
"11","PESQUISA E ASSISTÊNCIA TÉCNICA","Produção de estudos e pesquisas, promoção do desenvolvimento sustentável e apoio técnico a agricultores e organizações do meio rural."
"12","PORTOS E HIDROVIAS","Administração e gestão de portos, organização e viabilização do transporte aquaviário."
"13","SAÚDE","Serviços laboratoriais e indústria farmaceutica."
"14","SANEAMENTO","Tratamento de água e esgoto, drenagem urbana e águas pluviais."
"15","TRANSPORTE","Serviços de transporte rodoviário, ferroviário e metroviário."
"16","TURISMO","Promoção do turismo regional."
"17","OUTROS","Outros setores que não se enquadrem nas definições dos setores destacados."
